"Country","timePeriod","no","asynchrony","AreaHarvested","propNo","propAsynchrony","metric"
"DEU",1998,7,0.302812647859038,5122220,0.789778649447086,0.867394981218092,"asynchronyWithin"
"DEU",1998,8,0.330845964708546,5514490,0.85026150079252,0.947695320434699,"asynchronyWithin"
"DEU",1998,9,0.321762568126875,5869180,0.904950012643317,0.921676286345268,"asynchronyWithin"
"DEU",1998,10,0.319546402062589,6203210,0.956453025453155,0.915328165369149,"asynchronyWithin"
"DEU",1998,11,0.330089786128718,6467030,0.997130583874529,0.945529276480838,"asynchronyWithin"
"DEU",1998,12,0.331266221777476,6485640,1,0.94889913036466,"asynchronyWithin"
"DEU",2008,1,0,249202.416666667,0.459064606788913,0,"asynchronyBetween"
"DEU",2008,2,0.133332359,377558.570512821,0.695514028437735,0.256566619809697,"asynchronyBetween"
"DEU",2008,3,0.2099667555,487694.470512821,0.898399274508488,0.404031407942345,"asynchronyBetween"
"DEU",2008,4,0.4906276214,518534.553846154,0.95521088539945,0.944096927047318,"asynchronyBetween"
"DEU",2008,5,0.5147507121,537698.246153846,0.990513002415521,0.990516115057498,"asynchronyBetween"
"DEU",2008,6,0.5196792907,542848.246153846,1,1,"asynchronyBetween"
"DEU",2008,1,0,1126604,0.176309369418461,0,"asynchronyWithin"
"DEU",2008,2,0.133091232791627,2071268,0.32414580010069,0.482252966654151,"asynchronyWithin"
"DEU",2008,3,0.204405097414137,2812899,0.440208315368861,0.740657085816701,"asynchronyWithin"
"DEU",2008,4,0.207494067763212,3400098,0.532102792410618,0.751849897570728,"asynchronyWithin"
"DEU",2008,5,0.253479975794246,3907320,0.611481164025818,0.918478758894541,"asynchronyWithin"
"DEU",2008,6,0.258673971825949,4380919,0.685597660192362,0.937299081935656,"asynchronyWithin"
"DEU",2008,7,0.262992581248679,4846982,0.758534800162819,0.952947462089987,"asynchronyWithin"
"DEU",2008,8,0.275978048854748,5310885,0.83113390810255,1,"asynchronyWithin"
"DEU",2008,9,0.267921938923628,5701383,0.892245404368469,0.970808874239992,"asynchronyWithin"
"DEU",2008,10,0.272456084695709,6033896,0.944282462068815,0.987238245310977,"asynchronyWithin"
"DEU",2008,11,0.272807600998829,6298271,0.985656174162866,0.988511956407126,"asynchronyWithin"
"DEU",2008,12,0.270937915655192,6375663,0.997767736626725,0.981737195329586,"asynchronyWithin"
"DEU",2008,13,0.271675579163797,6389927,1,0.984410101785975,"asynchronyWithin"
"GRC",1988,1,0,6600,0.699152542372881,0,"asynchronyBetween"
"GRC",1988,2,0.070008959,9195,0.974046610169492,0.257159474340734,"asynchronyBetween"
"GRC",1988,3,0.27223947,9440,1,1,"asynchronyBetween"
"GRC",1988,1,0,13300,0.356855379661926,0,"asynchronyWithin"
"GRC",1988,2,0.0792168583074464,24710,0.662999731687684,0.431718578527286,"asynchronyWithin"
"GRC",1988,3,0.156593230956737,34810,0.93399517037832,0.853406819205837,"asynchronyWithin"
"GRC",1988,4,0.183491890892621,37270,1,1,"asynchronyWithin"
"GRC",1998,1,0,3975.75,0.491136504014824,0,"asynchronyBetween"
"GRC",1998,2,0.0425798695,6130.25,0.757288449660284,0.0921837140583449,"asynchronyBetween"
"GRC",1998,3,0.4619022995,7693.5,0.950401482396541,1,"asynchronyBetween"
"GRC",1998,4,0.4518349635,7907.5,0.976837554045707,0.978204620304126,"asynchronyBetween"
"GRC",1998,5,0.4381858796,8095,1,0.9486548996927,"asynchronyBetween"
"GRC",1998,1,0,10851,0.345980932946466,0,"asynchronyWithin"
"GRC",1998,2,0.363426988032885,21414,0.682779070879699,1,"asynchronyWithin"
"GRC",1998,3,0.360865912258979,26723,0.85205496923126,0.992952984070423,"asynchronyWithin"
"GRC",1998,4,0.312137574812174,31363,1,0.858872855044903,"asynchronyWithin"
"GRC",2008,1,0,31977,0.364996399726436,0,"asynchronyBetween"
"GRC",2008,2,0.6385940618,49861.5,0.569136191167392,0.856191587227919,"asynchronyBetween"
"GRC",2008,3,0.624519173,62297.1923076923,0.711081430571133,0.837320755031702,"asynchronyBetween"
"GRC",2008,4,0.6101050947,72396.6538461538,0.826360134036564,0.817995156319872,"asynchronyBetween"
"GRC",2008,5,0.6383065167,77549.4871794872,0.885176333650569,0.85580606266655,"asynchronyBetween"
"GRC",2008,6,0.6753575762,80720.4871794872,0.921371210703843,0.905482073358482,"asynchronyBetween"
"GRC",2008,7,0.7347425485,83289.4871794872,0.950694654144354,0.985102158687347,"asynchronyBetween"
"GRC",2008,8,0.7345980117,85349.2371794872,0.974205344150812,0.984908371742545,"asynchronyBetween"
"GRC",2008,9,0.7441051953,87085.0833333333,0.994018885028094,0.997655077519306,"asynchronyBetween"
"GRC",2008,10,0.7453345237,87368.0833333333,0.997249143686585,0.999303293024245,"asynchronyBetween"
"GRC",2008,11,0.7458541655,87609.0833333333,1,1,"asynchronyBetween"
"GRC",2008,1,0,337673,0.347083830993559,0,"asynchronyWithin"
"GRC",2008,2,0.30894547171606,525616,0.54026473810909,0.575026385168356,"asynchronyWithin"
"GRC",2008,3,0.388773046430582,679580,0.698519662118686,0.723605878727128,"asynchronyWithin"
"GRC",2008,4,0.477877353935257,809820,0.832389406364158,0.889451740013722,"asynchronyWithin"
"GRC",2008,5,0.50014798937882,888885,0.913657920866371,0.930903077440295,"asynchronyWithin"
"GRC",2008,6,0.498328970969543,920783,0.946444907214206,0.92751741985279,"asynchronyWithin"
"GRC",2008,7,0.505297887762006,935614,0.961689242110586,0.940488352909196,"asynchronyWithin"
"GRC",2008,8,0.516497659415727,946273,0.97264530479419,0.961333986842517,"asynchronyWithin"
"GRC",2008,9,0.519459786453247,953415,0.979986349890943,0.966847261380362,"asynchronyWithin"
"GRC",2008,10,0.519998775240071,959413,0.986151512099054,0.96785045709646,"asynchronyWithin"
"GRC",2008,11,0.524571549766483,965142,0.992040177369188,0.976361557749619,"asynchronyWithin"
"GRC",2008,12,0.534698033630835,970008,0.997041791124551,0.995209529136411,"asynchronyWithin"
"GRC",2008,13,0.537271818623779,972886,1,1,"asynchronyWithin"
"ESP",1978,1,0,240239.375,0.809893311903048,0,"asynchronyBetween"
"ESP",1978,2,0.2730361899,263501.597222222,0.888314753841033,0.888209200388545,"asynchronyBetween"
"ESP",1978,3,0.279849631,283276.891339869,0.954981087978799,0.910373885127011,"asynchronyBetween"
"ESP",1978,4,0.3043654268,295830.891339869,0.997303045558113,0.9901257868525,"asynchronyBetween"
"ESP",1978,5,0.3074007675,296630.891339869,1,1,"asynchronyBetween"
"ESP",1978,1,0,1524520,0.342301077296834,0,"asynchronyWithin"
"ESP",1978,2,0.106902024953363,2396160,0.538010750515297,0.410176725909949,"asynchronyWithin"
"ESP",1978,3,0.146419273883889,3017250,0.677464333346805,0.561802065003037,"asynchronyWithin"
"ESP",1978,4,0.177265269834022,3490870,0.783806418874923,0.680156320984409,"asynchronyWithin"
"ESP",1978,5,0.187789276938283,3739200,0.83956405178569,0.720536311722299,"asynchronyWithin"
"ESP",1978,6,0.194169120607846,3875180,0.870095694854212,0.745015393286378,"asynchronyWithin"
"ESP",1978,7,0.202236266266001,4006200,0.899513667165124,0.775968552451927,"asynchronyWithin"
"ESP",1978,8,0.219859241659494,4110310,0.92288952655521,0.843586863244897,"asynchronyWithin"
"ESP",1978,9,0.234588338033794,4197550,0.942477558187052,0.900101531971317,"asynchronyWithin"
"ESP",1978,10,0.242126131522447,4260880,0.956697068082106,0.929023598275578,"asynchronyWithin"
"ESP",1978,11,0.243174953746975,4309350,0.967580056312223,0.933047866911333,"asynchronyWithin"
"ESP",1978,12,0.246926534027308,4357520,0.978395685423936,0.947442457818724,"asynchronyWithin"
"ESP",1978,13,0.251620554682609,4396230,0.98708725700198,0.965453136518071,"asynchronyWithin"
"ESP",1978,14,0.254158824305655,4426450,0.993872565529196,0.975192326434373,"asynchronyWithin"
"ESP",1978,15,0.257602106334924,4440720,0.997076614261273,0.988403995247627,"asynchronyWithin"
"ESP",1978,16,0.260126271141387,4449610,0.999072689469974,0.998089065819712,"asynchronyWithin"
